rid,name,address,phone no.,opening hours
1,芎林鹿寮坑鍾家伙房,新竹縣芎林鄉華龍村2鄰214號,無,無
2,旭陽高爾夫球場,新竹縣關西鎮南新里新城段100號,03-547-6168,05:00–18:30
3,靈感抽水車,新竹縣橫山鄉橫山村橫山路97號,無,無
4,尖石岩,新竹縣尖石鄉嘉樂村2鄰36號,無,無
5,北埔冷泉,新竹縣北埔鄉內大坪,無,無
6,新寶觀光果園,新竹縣新埔鎮寶石里2鄰文德路202巷58號,03-588-9888,無
7,竹北泉州厝汾陽堂,新竹縣竹北市斗崙里文興路107號,無,無
8,八五山老劉果園,新竹縣尖石鄉新樂村8 鄰40 號,03-584-1169,無
9,即溶燒仙草，天然古早味【農業好伴手1．關西鎮農會之旅】,新竹縣關西鎮農會,03-587-1999,無
10,六福村主題遊樂園,新竹縣關西鎮仁安里拱子溝60號,03-547-5665,9：00~17：00
11,新埔朱氏家廟,新竹縣新埔鎮和平街158號,無,無
12,湖口老街,新竹縣湖口鄉湖鏡村湖口老街,無,無
13,觀霧森林遊樂區,新竹縣五峰鄉122縣道往大鹿林道,03-521-8853,08:00~17:00(務必提前離開園區，且山上嚴禁露營與炊煮) 
14,竹東林業展示館,新竹縣竹東鎮東林路141 號,03-595-2012,週二至週09:00~12:00 ， 13:00~17:00；周一公休
15,劉家庄燜雞,新竹縣新埔鎮照門里九芎湖6鄰16-2號,03-589-0709,09:00–19:00
16,福明新農場,新竹縣新埔鎮照門里箭竹窩3鄰11號,03-589-9365,平日08:00~17:00 假日07:00~20:00（平日DIY活動需先預約）
17,梨村農場,新竹縣新埔鎮南平里南平路667巷,03-588-2955,平日：08：00～17：00，產季中無休。假日：08：00～18：00
18,新埔褒忠亭,新竹縣新埔鎮下寮里義民路3段360號,無,無
19,典藏、風華,新竹縣竹北市縣政九路146號,無,無
20,桃山隧道,新竹縣五峰鄉 122線道南清公路,無,無
21,華洲園偶戲館,新竹縣橫山鄉內灣村中山街2段51號之1,無,無
22,峨眉湖、十二寮、獅山遊客中心自行車道,新竹縣峨眉鄉,無,開放空間
23,尖石TAPUNG古堡(李崠隘勇監督所),新竹縣尖石鄉玉峰村7鄰馬美部落,無,無
24,蓮華寺,新竹縣竹北市十興里10鄰39號,03-550-1342,無
25,大霸尖山,新竹縣尖石鄉嘉樂村2鄰36號,無,無
26,鄧南光影像紀念館,新竹縣北埔鄉公園街15號,0963-335566/ 03-580-2868,週一休館
27,小米裝飾藝術品,新竹縣尖石鄉義興村2鄰尖石53號,0988-556410,無
28,竹東中央市場 ,新竹縣竹東鎮東林路88號,無,無
29,新瓦屋客家文化保存區,新竹縣竹北市文興路一段123號,03-658-0651#603,09:00-12:00、13:00-17:00週一、國定假日、民俗節日
30,清泉溫泉,新竹縣五峰鄉桃山村清泉254-1號,無,無
31,竹東火車站,新竹縣竹東鎮雞林里東林路196號,無,無
32,麥客田園休閒農場 , 新竹縣北埔鄉南埔村二鄰13號之3,03-580-5678,09:00~17:00，假日延長到18:00
33,久久養生蕃茄館 ,新竹縣芎林鄉石潭村富林路2段202號,03-550-8542/0935-034122,08:00~17:00，全年無休 
34,寶山高爾夫球場,新竹縣寶山鄉深井村9鄰寶新路676號,03-576-2200, 05:00–天黑
35,峨眉湖風景區,新竹縣峨眉鄉峨眉村8鄰8號,無,無
36,立益高爾夫球場,新竹縣關西鎮東山里湖肚55號,03-587-5111,天氣明亮–14:00
37,竹北體育館,新竹縣竹北市光明六路東一段2號,無,無
38,佛有緣紅龍果觀光果園,新竹縣竹北市長青路2段203巷6號,03-556-2825,去電洽詢
39,西瓜莊園文化教育園區,新竹縣北埔鄉水村六鄰32號之10,03-580-2000,周一至周五請先預約（10人以上開園)
40,孤輪歐多拜,新竹縣竹北市復興三路二段229號,無,無
41,名冠藝術館,新竹縣竹東鎮忠孝街95號(長春路Toyota旁巷道，美之城社區),03-595-4719,每週二休館
42,關西天主堂,新竹縣關西鎮正義路126號,03-587-2104,無
43,西瓜莊園,新竹縣北埔鄉水?村六鄰32號之10,03-580-2000,10:30 - 18:30  周二公休
44,關西鎮農會仙草加工廠,新竹縣關西鎮北山里高橋坑6號,03-587-4277/03-587-1999,星期一~五AM08:00-PM17:00
45,風動、靜海、絃歌,新竹縣竹北市鳳岡路3段200號,無,無
46,玖龍宮,新竹縣寶山鄉寶新路二段56巷80號,03-520-0090,無
47,富林農場,新竹縣芎林鄉富林路二段559號,03-592-1279,無
48,竹北光明商圈,新竹縣竹北市光明一路,03-551-5919,無
49,修女廟,新竹縣寶山鄉新城村寶新路二段旁,無,無
50,大旭谷蘭花農場,新竹縣關西鎮石光里22-5號,03-586-8528/0939-130150 ,去電洽詢
51,宵里溪自行車道,新竹縣新埔鎮,無,開放空間
52,金漢柿餅、箭竹窩林家果園、竹嵐園》新埔大坪社區農村再生之旅1,新竹縣新埔鎮旱坑里11鄰27號,03-589-2680,０９：００～１８：００、全年無休
53,水月灣仙境,新竹縣橫山鄉內灣村9鄰大同路99號,03-535-8430,10：00-18：00，週一公休
54,樹杞林文化館,新竹縣竹東鎮新生路377號,03-596-6177#203/ 03-594-0923,09:00--17:00週一、週二、國定假日
55,永寧宮,新竹縣新豐鄉永寧街22號,03-559-5680,無
56,竹嵐園,新竹縣新埔鎮照門里4鄰箭竹窩20-1號,03-589-0460/0937-151-090,平日預約開放，假日 07:00-20:001 (DIY活動請事先預約) 
57,漫畫藝文廣場,新竹縣新埔鎮新民里13鄰民生街51號,無,無
58,Wow，好好吃的柿糬！,新竹縣新埔鎮中正路 582 號,03-588-2002,無
59,二寮神木,新竹縣北埔鄉中山路20號,無,無
60,光陰的故事,新竹縣竹北市光明六路72號,無,無
61,深井村茶花園區,新竹縣寶山鄉雙溪村四鄰雙園路二段,03-520-0090,無
62,仁和步道,新竹縣湖口鄉湖口老街278號,無,無
63,三聖宮,新竹縣新埔鎮五埔里三聖路488號,03-588-2153,無
64,石牛山步道,新竹縣關西鎮石服宮,無,無
65,照門步道群–懷祖步道,新竹縣新埔鎮照門里箭竹窩,無,無
66,五指山風景區,新竹縣北埔鄉中山路20號,無,無
67,燭園蠟藝館,新竹縣寶山鄉寶新路三段112 巷5 號,03-576-2670,09:00-16:00，週一休館
68,紙寮窩造紙工坊,新竹縣芎林鄉文林村10鄰紙寮窩10-3號,03-592-2147,每周六日09:00~12:00，13:00~17:00
69,竹東頭重並禁、示禁二碑,新竹縣竹東鎮竹中路104巷14號(竹中國小內),無,無
70,谷燕瀑布,新竹縣五峰鄉和平部落,無,無
71,白蘭休閒農業區,新竹縣五峰鄉122縣道南行至五峰花園,無,無
72,花花世界玩布工坊,新竹縣竹東鎮三民街6 號,0932-303-402,請預約
73,溝貝窯工作室,新竹縣竹北市聯興里新興路328 巷165 號,03-555-4735,須預約
74,綠世界休閒農場,新竹縣北埔鄉大湖村7鄰20號,03-580-1000,8:30~17:30
75,東坑伯公廟,新竹縣寶山鄉新城村東坑路口,03-520-0090,無
76,傑克與魔豆,新竹縣橫山鄉豐田村,無,無
77,竹北市民農園,新竹縣竹北市新國里中正西路219巷2號,03-555-2990,無
78,勝櫻農場暨原民藤編,新竹縣五峰鄉竹林村1鄰羅山4之9號,03-585-2153/03-585-1383,08：00至20：00，全年無休。
79,陳永斌木工DIY 工作室,新竹縣北埔鄉南埔村10-5 號,03-580-3880,每日課程／體驗課程：08:00-12:00，13:00-17:00
80,華山休閒農場,新竹縣關西鎮新富里4鄰32號,0933-887141/03-587-1141,08:00~18:00全年無休
81,坪林登山步道,新竹縣關西鎮竹16-1坪林國小旁,無,無
82,北埔姜氏家廟,新竹縣北埔鄉南興村7鄰南興街1號,無,無
83,慈心農場,新竹縣關西鎮東山里11鄰15號,03-587-7050,無
84,天湖農園,新竹縣尖石鄉梅花村8 鄰227 號,0912-442539,無
85,頭前溪生態公園,新竹縣竹東鎮,無,無
86,照門休閒農業區,新竹縣新埔鎮中正路776號,03-589-9625,無
87,峨眉天主堂,新竹縣峨眉鄉峨眉村2 鄰1-2號,無,無
88,寶湖吊橋．碧湖吊橋,新竹縣寶山鄉雙溪村四鄰雙園路二段,無,無
89,東海有機萊姆園,新竹縣竹北市港安街二段130號,03-556-3646,須預約
90,石上湯屋,新竹縣尖石鄉嘉樂村7鄰45號,03-584-2605,平日 09:00-22:00 假日 09:00-23:00
91,木馬古道,新竹縣內灣木馬古道,無,無
92,慈惠堂,新竹縣竹東鎮中豐路三段476號,03-596-5860,無
93,三毛居所,新竹縣五峰鄉桃山村清泉262號,無,週一需預約(09:00~17:00)
94,小雨滴藝術空間,新竹縣峨眉鄉富興村10 鄰 寮坑9-2 號,03-580-6283/ 0916-958515,須預約
95,淞濤田園休閒農場,新竹縣寶山鄉寶山村9鄰通學路215巷5號,03-529-3211,無
96,合心、合興 眾人合心,新竹縣橫山鄉力行村中山街一段17號,無,無
97,瞌睡熊,新竹縣竹東鎮頭重里16鄰竹中路145號,無,無
98,萬佛庵,新竹縣峨眉鄉七星村14鄰59號,03-580-0065,無
99,富興茶葉展售中心,新竹縣峨眉鄉富興頭22之6號,03-580-6320,無
100,瑞眼四面觀,新竹縣竹北市復興二路161號,無,無
101,仙湖露營區,新竹縣五峰鄉和平部落(麥巴來部落),無,無
102,水濂橋步道,新竹縣峨眉鄉七星村六寮60-8號,無,無
103,新埔陳氏宗祠,新竹縣新埔鎮中正路510號,無,無
104,天岳農場,新竹縣五峰鄉大隘村23鄰464號 ,03-585-1938,無
105,金發火龍果農場,新竹縣關西鎮南新里13鄰53號,03-587-6110,無
106,內灣天主堂,新竹縣橫山鄉內灣村大同路55號,無,無
107,竹東大圳,新竹縣竹東鎮二重里,無,無
108,竹北六張犁問禮堂,新竹縣竹北市東平里1鄰9號,無,無
109,清泉風景特定區,新竹縣五峰鄉大隘村6鄰95號,無,無
110,阿嬌草莓園,新竹縣關西鎮大同里(118線道上),0912-233281,無
111,段木香菇農場,新竹縣芎林鄉華龍村187號,03-593-2691/0915-235947,無
112,老大份休閒農場,新竹縣橫山鄉大山背段174、176-6地號,無,無
113,菩提之戀,新竹縣竹北市嘉興路356號,無,無
114,元和宮,新竹縣關西鎮上林里14鄰49號,無,無
115,羅幸鱒魚休閒農莊,新竹縣尖石鄉錦屏村7鄰那羅12之1號,0921-235984,10:00~22:00，建議C-預約
116,湖口裝甲新村(乙村),新竹縣湖口鄉新竹縣湖口鄉北湖小段815、816,無,無
117,頤禾園有機農園,新竹縣竹東鎮軟橋里軟橋21 號,0936-168-098/ 0981-463-589,07:00-18:00（請預約）
118,關西南陽堂鄧屋,新竹縣關西鎮東平里6鄰大旱坑24號,無,無
119,紅毛港生態遊憩區,新竹縣新豐鄉新豐村池府路156號,無,無
120,峰城炭窯 (木炭的家),新竹縣寶山鄉新湖路四段,03-576-1583,無
121,金廣成文化館,新竹縣關西鎮東山里11鄰四寮14-1號,0932-116912,週三至週五10:00-16:00、週六至週日09:00-17:00；每週一、二休館(休館日如欲參觀/請預約通知)
122,新埔范氏家廟,新竹縣新埔鎮成功街116之7號,無,無
123,獅山古道,新竹縣峨眉鄉七星村六寮60-8號,無,無
124,豐鄉瀑布遊憩區,新竹縣橫山鄉新興村十鄰新興街110號,無,無
125,新豐高爾夫球場,新竹縣新豐鄉上坑村坑子口104號,03-559-6140,天氣明亮–天色昏暗
126,二重-活力-希望,新竹縣竹東鎮二重里學府路132號,無,無
127,清泉天主堂,新竹縣五峰鄉桃山村10鄰清泉184號,03-585-1026,無
128,保生宮,新竹縣寶山鄉大崎村大坪路18號,03-577-7600,無
129,寶山生態農塘,新竹縣寶山鄉雙溪村四鄰雙園路二段325號,無,無
130,呂記農園,新竹縣關西鎮大同里(118線道上),0916-137057,無
131,湘樟園休閒農莊,新竹縣新埔鎮寶石里4鄰文德路2段177巷20號,03-588-7733,無
132,油點草生態農場,新竹縣北埔鄉南坑村2鄰19號（竹37線8 K處）,0932-314252,無
133,阿根草莓園 ,新竹縣關西鎮石光里706巷8號,03-586-8108/0926-706108,去電洽詢
134,大湖山林,新竹縣北埔鄉大湖村3鄰28-8號,無,無
135,新竹高鐵站,新竹縣竹北巿復興三路二段229號,無,無
136,周家庄觀光農場(休憩小棧),新竹縣新埔鎮照門里六鄰九芎湖18號,03-589-0771/0937-120200,觀光採果非假日請事先C-預約
137,松林磚瓦陳列館,新竹縣新豐鄉松林村松林街99號,無,無
138,鎮西堡神木群,新竹縣尖石鄉,無,無
139,竹語茶蘆蕃薯伯,新竹縣北埔鄉南埔村4鄰南埔38號 ,03-580-1096,C-預約
140,廣濟宮 ,新竹縣橫山鄉內灣村大同路1號,無,無
141,關西台灣紅茶公司,新竹縣關西鎮中山路73號,03-587-2357,周一至周日 9:00-17:00
142,新豐海堤,新竹縣新豐鄉紅毛港紅樹林保護區附近,無,無
143,金漢柿餅教育園區,新竹縣新埔鎮旱坑里11鄰27號,03-589-2680,無
144,李龍泉多元藝術空間,新竹縣竹北市溪州路246 巷92 號,03-551-1966,須預約
145,上坪老街,新竹縣竹東鎮上坪(南清公路上),無,無
146,東坑新豐宮,新竹縣寶山鄉新城村新湖路32號,無,無
147,北角吊橋,新竹縣尖石鄉義興村(120線道上),無,無
148,大羅草莓園,新竹縣關西鎮高橋坑11鄰 (118線道上),03-551-8101,無
149,五峰涼山露營區,新竹縣五峰鄉大隘村21鄰421號,0917-966231/0916-311146,烤肉區：11:00~15:00，全年無休，需事先預約。 露營區：進駐13:00以後，離場次日上午13:00以前，提前進場需先連絡。
150,士明蕃茄農園 ,新竹縣關西鎮 南新里２８號台三線中豐路關西段62K ,03-517-1220/0919-363014,去電洽詢
151,丹桂宮,新竹縣峨眉村八鄰峨眉街二號,03-580-0984,無
152,竹林養生村合作社,新竹縣五峰鄉大隘村10鄰196號,03-585-1998,無
153,河岸溫泉,新竹縣橫山鄉內灣村中山街2段2號,03-584-9250,露天溫泉SPA風呂 營業時間 ： 星期一~星期五 AM:10:00~PM:10:00；星期六~星期日 AM:10:00~PM:10:00 湯屋溫泉風呂 營業時間 ： 星期一~星期五 AM:10:00~PM:10:00，星期六~星期日AM:10:00~PM:12:00
154,新埔國小校長宿舍,新竹縣新埔鎮新竹縣新埔鎮四座里中正路366號,無,預約開放，預約C-:5881311
155,三峰務農族果園,新竹縣寶山鄉三峰村三峰路一段219號,03-576-1826/0933-973685,柑橘採收期：11月-2月； 營業時間：日出後3小時~日落前1小時
156,玉泉山普照宮,新竹縣竹東鎮商華里環山路5號,03-596-2478,無
157,戈尤浪部落,新竹縣關西鎮錦山里16鄰(竹29線道),無,無
158,蕭如松藝術園區,新竹縣竹東鎮榮樂街68巷1號,03-595-6009,10:30-18:00週二
159,十二寮休閒農業園區,新竹縣峨眉鄉湖光村十二寮13鄰21-1號,03-760-2708,無
160,福沙大崎步道,新竹縣橫山鄉,無,無
161,內灣車站,新竹縣橫山鄉中正路6號,無,無
162,濕地農場,新竹縣芎林鄉華龍村7鄰169號,03-593-1992,無
163,十全農園,新竹縣關西鎮大同里(118線道上),03-551-8101,無
164,軟橋社區,新竹縣竹東鎮東林路88號,無,無
165,關西迎風館,新竹縣關西鎮東安里中山東路9號,無,無
166,八仙瀑布,新竹縣五峰鄉大鹿林道八公里的左側溪谷,無,無
167,巨擎,新竹縣竹東鎮榮華里自強路169號新竹縣立自強國民中學文化館,無,無
168,鼎豐養蜂場,新竹縣竹北市新溪街145號,03-551-6288,無
169,桃山國小 ,新竹縣五峰鄉桃山村15鄰243號,無,無
170,柿染工坊,新竹縣新埔鎮忠孝路120 號,03-588-0783/ 假日請撥0911-080-300,8:00～17:00（週一～週五）
171,竹北縣福園,新竹縣竹北市中山高速公路竹北交流道旁,無,無
172,錦梅吊橋,新竹縣尖石鄉錦屏村5鄰68號旁,無,無
173,櫻之林休閒農場,新竹縣五峰鄉大隘村14鄰270-1號,03-585-1621,無
174,竹北蓮華寺,新竹縣竹北市十興里犁頭山下39號,無,無
175,內灣吊橋 ,新竹縣橫山鄉內灣村,無,無
176,竹東林業展示館 ,新竹縣竹東鎮東林路141號,無,無
177,薰衣草森林,新竹縣尖石鄉嘉樂村嘉樂130號,03-584-1193,無
178,梅花山莊,新竹縣尖石鄉梅花村6 鄰148 號,03-584-1843,無
179,金勇DIY番茄農場,新竹縣關西鎮東光里16張2鄰35~號,03-587-0899,8:00~18:00 
180,水田營地,新竹縣尖石鄉新樂村7 鄰水田 190 號,03-536-3526,無
181,新吉拉的誕生,新竹縣竹北市復興三路二段229號,無,無
182,北埔慈天宮,新竹縣北埔鄉北埔街1號, 03 580 1575,05:30–19:00
183,峨眉天主教堂,新竹縣峨眉鄉峨眉村2鄰1之2號,03-580-9115 ,無
184,竹北‧原生林保護區,新竹縣竹北市鳳岡路五段415巷,無,無
185,新竹縣立美術館,新竹縣竹北市縣政九路146號,無,週二~週日，09：00~17：00
186,麥巴萊部落,新竹縣五峰鄉大隘村10鄰194號,無,無
187,合興車站,新竹縣橫山鄉力行村中山街1段17號,無,週一至週五：AM10：30 至18：30 週日至週六：AM10：00 至18：30  公休日：每週二
188,鬼澤山步道,新竹縣五峰鄉,無,無
189,竹北通德堂,新竹縣竹北市東興路一段693巷31號,無,無
190,白蘭部落,新竹縣五峰鄉大隘村六鄰九十五號,無,無
191,內灣派出所 ,新竹縣橫山鄉內灣村4鄰141號,無,無
192,鄧雨賢音樂文化紀念園區,新竹縣芎林鄉文山路131巷附近,無,無
193,老爺關西高爾夫球場,新竹縣關西鎮玉山里一鄰赤柯山1號,03-547-6331, 06:00–18:30
194,富貴車站,新竹縣橫山鄉力行村富貴車站,無,無
195,新竹縣縣史館,新竹縣竹北市縣政九路一四六號,03-551-0201#557,週日、週一休館；遇有特殊情形，本局另行公告通知休館日。
196,竹北采田福地,新竹縣竹北市中正西路219巷38號,無,無
197,騎龍古道,新竹縣橫山鄉豐鄉村80號,無,無
198,金色天地休閒農場,新竹縣新埔鎮下寮里17鄰新湖路366號,03-589-7898/03-589-7011,11:30~24:00
199,牛埔溪‧紅樹林景觀區,新竹縣竹北市港安街二段,無,無
200,再興高爾夫球場,新竹縣湖口鄉長安村10鄰南窩50號,03-569-2318, 05:30–13:00
201,新農民市場,新竹縣新埔鎮楊新路一段322號,03-588-8317,無
202,竹北天后宮,新竹縣竹北市中正東路328巷29號,03-555-3063/03-553-2285,無
203,新竹縣縣史館,新竹縣竹北市縣政九路一四六號,03-551-0201#557,週日、週一休館；遇有特殊情形，本局另行公告通知休館日。
204,森林公園步道,新竹縣竹東鎮公園路134號,無,無
205,錦屏公園,新竹縣尖石鄉錦屏村竹60鄉道 3K處,無,無
206,關西東安橋,新竹縣關西鎮北斗里中山路,無,無
207,新埔潘宅,新竹縣新埔鎮新生里和平街170號,無,私人住宅，宅院內部不對外開放 
208,鹿寮坑步道,新竹縣芎林鄉五和街社區活動中心,無,無
209,飛龍健行步道,新竹縣新埔鎮三聖路488號,無,無
210,分享與榮耀,新竹縣尖石鄉嘉樂村1鄰1-12號(農特產品展售中心),03-584-2421,無
211,漢卿步道,新竹縣湖口鄉湖新路旁,無,無
212,朱錦城工作室,新竹縣新埔鎮文山里文華路299巷9號,03-588-8393,須預約
213,飛鳳文昌,新竹縣芎林鄉新鳳村8鄰74號,無,無
214,鴛鴦湖自然生態保育區,新竹縣尖石鄉,無,無
215,新埔劉家祠,新竹縣新埔鎮新生里和平街230號,無,無
216,竹北六張犁大夫第,新竹縣竹北市竹北市東平里三鄰20號,無,無
217,金廣福公館,新竹縣北埔鄉北埔村五鄰中正路1號及6號,03580-4216,9:00~16:00(參觀前七天預約)
218,上品香果園,新竹縣新埔鎮南平里南平路669巷39號,03-588-7967,09：00至18：00，產期中無休，但需C-聯絡
219,福田草莓園,新竹縣關西鎮高橋坑11鄰13號 (118線道上),0921-873603,無
220,喜翁瀑布,新竹縣五峰鄉喜翁瀑布,無,無
221,秘花園咖啡庭園,新竹縣尖石鄉錦屏村209號,03-584-2686,無
222,甘露寺, 新竹縣竹東鎮敦睦街47號,03-595-5625,無
223,福祥仙人掌 多肉植物園,新竹縣新埔鎮北平里38號,03-588-3218,07:00~17:00(周一休園)
224,山清休閒農園,新竹縣尖石鄉梅花村1鄰24之1號,03-584-1991/0932-757931   ,無
225,明昇生態休閒農場,新竹縣北埔鄉南埔村5鄰番婆坑5號,03-580-3227,無
226,高平蕃茄農場,新竹縣關西鎮大同里5鄰37號,03-587-3862,C-預約
227,金錦山義民廟,新竹縣關西鎮 金山里12鄰127號,03-547-8256,無
228,采香步道,新竹縣湖口鄉三元路二段82號,無,無
229,松芸軒咖啡莊,新竹縣峨眉鄉湖光村12鄰1-2號,037-603317；0937730055,無
230,篁城竹簾文化館,新竹縣竹東鎮仁愛路370巷31號,03-595-6965,門市每日09:00~18:30 全年無休；工廠週一~週五
231,蓮花寺步道,新竹縣竹北市尚義里蓮花路925號,無,無
232,北埔忠恕堂,新竹縣北埔鄉北埔鄉南興村7鄰公園街20號,無,預約開放
233,逸園客家料理,新竹縣關西鎮東平里8鄰8號,03-588-9310,Am 11:00～Pm 2:00 / Pm 05:00～Pm 9:00 每週二晚上公休
234,山溪地高爾夫球場,新竹縣關西鎮玉山里2鄰13號,03-547-6288,天氣明亮–18:30
235,羅屋書院,新竹縣關西鎮南山里7鄰46 號,0919-369464,週三及週五上午十點至下午六點開放參觀，其他時間請先預約
